game_id,team1_id,team2_id,team1_won,kill_diff,dragon_diff,rift_herald_diff,tower_diff,grub_diff,first_blood,first_dragon,first_herald
17903,35,394,1,-3,0,-1,0,0,team2,none,team2
17904,150,152,1,0,0,1,0,0,none,none,team1
17905,149,153,0,-3,0,1,0,0,team2,none,team1
17906,148,489,0,0,0,1,0,0,team1,none,team1
17907,150,153,0,-4,0,-1,0,0,team2,none,team2
17908,35,148,0,-3,0,1,0,0,team2,none,team1
17909,152,394,1,-1,0,1,0,0,team2,none,team1
17910,149,489,0,-1,0,-1,0,0,team2,none,team2
17911,35,489,0,-4,0,-1,0,0,team2,none,team2
17912,153,394,1,0,0,1,0,0,team1,none,team1
17913,148,152,0,-4,0,-1,0,0,team2,none,team2
17914,149,150,0,1,0,0,0,0,team2,none,none
17915,148,153,0,-3,0,-1,-1,0,team2,none,team2
17916,152,489,1,0,0,1,0,0,team1,none,team1
17917,35,149,1,3,0,-1,0,0,team1,none,team2
17918,150,394,1,2,0,1,0,0,team1,none,team1
17919,148,150,0,-1,0,-1,0,0,team1,none,team2
17920,149,394,0,-1,0,-1,0,0,team2,none,team2
17921,153,489,1,1,0,1,0,0,team2,none,team1
17922,35,152,0,-1,0,-1,0,0,team2,none,team2
17923,270,456,0,0,0,-1,0,0,none,none,team2
17924,232,454,0,-1,0,-1,0,0,team2,none,team2
17925,451,453,0,0,0,1,0,0,team2,none,team1
17926,290,487,0,2,0,0,0,0,team1,none,none
17927,268,449,0,-3,0,1,0,0,team2,none,team1
17928,270,451,0,-2,0,-1,0,0,team2,none,team2
17929,454,487,0,0,0,1,0,0,none,none,team1
17930,232,453,0,-1,0,-1,0,0,team2,none,team2
17931,449,456,0,1,0,1,0,0,team1,none,team1
17932,268,290,0,0,0,1,0,0,none,none,team1
17933,232,451,0,-8,0,-1,0,0,team2,none,team2
17934,453,487,0,2,0,-1,0,0,team2,none,team2
17935,270,449,1,-1,0,1,0,0,team2,none,team1
17936,290,456,1,4,0,0,0,0,team1,none,none
17937,268,454,0,0,0,-1,0,0,none,none,team2
17938,451,487,0,-3,0,-1,0,0,team2,none,team2
17939,232,270,0,-1,0,1,0,0,none,none,team1
17940,454,456,1,0,0,-1,0,0,none,none,team2
17941,268,453,0,0,0,-1,0,0,team1,none,team2
17942,290,449,1,2,0,-1,0,0,team1,none,team2
17943,268,451,0,-2,0,-1,0,0,team2,none,team2
17944,232,487,0,-1,0,-1,0,0,team2,none,team2
17945,453,456,0,-1,0,-1,0,0,team2,none,team2
17946,270,290,0,1,0,1,0,0,team2,none,team1
17947,449,454,0,-2,0,1,0,0,team1,none,team1
17948,451,456,0,-6,0,-1,0,0,team2,none,team2
17949,232,268,0,2,0,1,0,0,team2,none,team1
17950,449,453,1,1,0,-1,0,0,team2,none,team2
17951,290,454,1,0,0,1,0,0,team1,none,team1
17952,270,487,0,-2,0,-1,0,0,team2,none,team2
17953,268,487,0,-3,0,1,0,0,team1,none,team1
17954,290,453,1,1,0,-1,0,0,team2,none,team2
17955,270,454,1,1,0,1,0,0,team1,none,team1
17956,449,451,0,-1,0,-1,0,0,team2,none,team2
17957,232,456,0,-2,0,-1,0,0,team2,none,team2
17958,290,451,1,3,0,0,0,0,team1,none,none
17959,268,270,0,-4,0,-1,0,0,team2,none,team2
17960,456,487,1,-1,0,-1,0,0,team1,none,team2
17961,453,454,0,1,0,-1,0,0,team1,none,team2
17962,232,449,0,-1,0,-1,0,0,team2,none,team2
17963,268,456,1,2,0,1,0,0,team1,none,team1
17964,449,487,0,1,0,-1,0,0,team1,none,team2
17965,270,453,1,-1,0,-1,0,0,team2,none,team2
17966,232,290,0,-3,0,0,0,0,team2,none,none
17967,451,454,0,1,0,-1,0,0,team1,none,team2
17968,268,449,0,1,0,-1,0,0,team1,none,team2
17969,290,487,0,-4,0,-1,0,0,team2,none,team2
17970,270,456,1,0,0,1,0,0,team1,none,team1
17971,232,454,0,-2,0,-1,0,0,team1,none,team2
17972,451,453,1,1,0,1,0,0,team1,none,team1
17973,268,290,0,0,0,1,0,0,none,none,team1
17974,454,487,0,-1,0,-1,0,0,team2,none,team2
17975,449,456,0,-1,0,-1,0,0,team2,none,team2
17976,232,453,0,2,0,-1,-1,0,team1,none,team2
17977,270,451,1,1,0,1,0,0,team1,none,team1
17978,268,454,0,-3,0,1,0,0,team2,none,team1
17979,290,456,0,-2,0,-1,0,0,team2,none,team2
17980,270,449,1,1,0,1,0,0,none,none,team1
17981,453,487,1,0,0,1,0,0,team1,none,team1
17982,232,451,1,3,0,-1,0,0,team1,none,team2
17983,268,453,0,-2,0,-1,0,0,team2,none,team2
17984,232,270,0,1,0,-1,0,0,team1,none,team2
17985,454,456,0,2,0,1,0,0,team1,none,team1
17986,451,487,1,3,0,1,0,0,team1,none,team1
17987,290,449,1,0,0,1,0,0,team2,none,team1
17988,270,290,1,2,0,1,0,0,team1,none,team1
17989,268,451,0,-6,0,-1,0,0,team2,none,team2
17990,449,454,0,-2,0,-1,0,0,team2,none,team2
17991,453,456,0,0,0,0,0,0,none,none,none
17992,232,487,1,0,0,-1,0,0,none,none,team2
17993,270,487,1,-1,0,0,0,0,team1,none,none
17994,451,456,0,-1,0,-1,0,0,team1,none,team2
17995,449,453,0,-2,0,1,0,0,team2,none,team1
17996,232,268,0,-1,0,-1,0,0,team2,none,team2
17997,290,454,1,2,0,1,0,0,team1,none,team1
17998,268,487,1,2,0,1,0,0,team1,none,team1
17999,232,456,0,2,0,0,0,0,team1,none,none
18000,270,454,1,0,0,-1,0,0,team2,none,team2
18001,449,451,0,-3,0,1,0,0,none,none,team1
18002,290,453,0,-1,0,0,0,0,team2,none,none
18003,540,541,1,-1,0,1,0,0,team2,none,team1
18004,542,543,1,2,0,-1,0,0,team1,none,team2
18005,544,545,1,-1,0,-1,0,0,team2,none,team2
18006,546,547,0,-1,0,1,0,0,team2,none,team1
18007,545,546,1,2,0,1,0,0,team1,none,team1
18008,540,547,1,-2,0,-1,0,0,team2,none,team2
18009,542,544,1,-1,0,0,0,0,team2,none,none
18010,541,543,1,4,0,1,0,0,team1,none,team1
18011,542,546,1,1,0,0,0,0,team2,none,none
18012,541,544,0,-2,0,-1,0,0,team2,none,team2
18013,540,543,1,4,0,1,0,0,team1,none,team1
18014,545,547,0,-6,0,1,-1,0,team1,none,team1
18015,543,544,0,-1,0,1,0,0,team2,none,team1
18016,542,547,1,-1,0,-1,0,0,team2,none,team2
18017,541,546,1,-3,0,1,0,0,team2,none,team1
18018,540,545,0,0,0,1,0,0,team2,none,team1
18019,542,545,1,-1,0,-1,0,0,team1,none,team2
18020,543,546,0,-3,0,-1,0,0,team2,none,team2
